,date,variable,value
645,2013-11-13,added_ticker,KORS
861,2013-11-13,removed_ticker,NYX
20,2013-12-02,added_ticker,ALLE
860,2013-12-02,removed_ticker,JCP
859,2013-12-10,removed_ticker,MOLX
643,2013-12-10,added_ticker,GGP
191,2013-12-23,added_ticker,FB
327,2013-12-23,added_ticker,MHK
22,2013-12-23,added_ticker,ADS
856,2013-12-23,removed_ticker,ANF
857,2013-12-23,removed_ticker,JDSU
858,2013-12-23,removed_ticker,TER
855,2014-01-24,removed_ticker,LIFE
639,2014-01-24,added_ticker,TSCO
638,2014-03-21,added_ticker,GMCR
854,2014-03-21,removed_ticker,WPX
180,2014-04-02,added_ticker,ESS
853,2014-04-02,removed_ticker,CLF
25,2014-04-03,added_ticker,GOOGL
852,2014-04-03,removed_ticker,
851,2014-05-01,removed_ticker,SLM
850,2014-05-01,removed_ticker,BEAM
634,2014-05-01,added_ticker,UA
635,2014-05-01,added_ticker,NAVI
82,2014-05-08,added_ticker,AVGO
849,2014-05-08,removed_ticker,LSI
632,2014-06-20,added_ticker,XEC
848,2014-06-20,removed_ticker,IGT
112,2014-06-21,added_ticker,XEC
10,2014-07-01,added_ticker,AMG
847,2014-07-01,removed_ticker,FRX
311,2014-07-02,added_ticker,MLM
846,2014-07-02,removed_ticker,X
845,2014-08-06,removed_ticker,
629,2014-08-06,added_ticker,DISCK
154,2014-08-07,added_ticker,DISCK
628,2014-08-18,added_ticker,MNK
844,2014-08-18,removed_ticker,RDC
626,2014-09-20,added_ticker,URI
627,2014-09-20,added_ticker,UHS
843,2014-09-20,removed_ticker,GHC
842,2014-09-20,removed_ticker,BTU
625,2014-11-05,added_ticker,LVLT
841,2014-11-05,removed_ticker,JBL
624,2014-12-05,added_ticker,RCL
840,2014-12-05,removed_ticker,BMS
230,2015-01-27,added_ticker,HCA
623,2015-01-27,added_ticker,ENDP
838,2015-01-27,removed_ticker,SWY
839,2015-01-27,removed_ticker,COV
621,2015-03-12,added_ticker,SWKS
837,2015-03-12,removed_ticker,PETM
233,2015-03-17,added_ticker,HSIC
620,2015-03-18,added_ticker,HSIC
836,2015-03-18,removed_ticker,CFN
178,2015-03-20,added_ticker,EQIX
419,2015-03-20,added_ticker,SLG
226,2015-03-20,added_ticker,HBI
833,2015-03-23,removed_ticker,DNR
619,2015-03-23,added_ticker,HBI
618,2015-03-23,added_ticker,SLG
617,2015-03-23,added_ticker,EQIX
616,2015-03-23,added_ticker,AAL
835,2015-03-23,removed_ticker,AVP
834,2015-03-23,removed_ticker,NBR
832,2015-03-23,removed_ticker,AGN
615,2015-04-07,added_ticker,O
831,2015-04-07,removed_ticker,WIN
614,2015-06-11,added_ticker,QRVO
830,2015-06-11,removed_ticker,LO
828,2015-07-01,removed_ticker,TEG
829,2015-07-01,removed_ticker,QEP
613,2015-07-01,added_ticker,BXLT
612,2015-07-01,added_ticker,JBHT
611,2015-07-02,added_ticker,CPGX
827,2015-07-02,removed_ticker,ATI
826,2015-07-06,removed_ticker,KRFT
285,2015-07-06,added_ticker,KHC
609,2015-07-08,added_ticker,AAP
825,2015-07-08,removed_ticker,FDO
8,2015-07-09,added_ticker,AAP
368,2015-07-20,added_ticker,PYPL
824,2015-07-20,removed_ticker,NE
607,2015-07-29,added_ticker,SIG
823,2015-07-29,removed_ticker,DTV
606,2015-08-28,added_ticker,ATVI
822,2015-08-28,removed_ticker,PLL
5,2015-08-31,added_ticker,ATVI
605,2015-09-02,added_ticker,UAL
821,2015-09-02,removed_ticker,HSP
460,2015-09-03,added_ticker,UAL
820,2015-09-18,removed_ticker,
125,2015-09-18,added_ticker,CMCSA
345,2015-09-18,added_ticker,NWS
209,2015-09-18,added_ticker,FOX
602,2015-09-18,added_ticker,CMCSK
817,2015-10-07,removed_ticker,JOY
601,2015-10-07,added_ticker,VRSK
472,2015-10-08,added_ticker,VRSK
236,2015-11-02,added_ticker,HPE
816,2015-11-02,removed_ticker,HCBK
815,2015-11-18,removed_ticker,GNW
431,2015-11-18,added_ticker,SYF
598,2015-11-19,added_ticker,ILMN
814,2015-11-19,removed_ticker,SIAL
813,2015-12-01,removed_ticker,CSC
597,2015-12-01,added_ticker,CSRA
596,2015-12-15,added_ticker,
812,2015-12-15,removed_ticker,CMCSK
595,2015-12-29,added_ticker,CHD
811,2015-12-29,removed_ticker,ALTR
594,2016-01-05,added_ticker,WLTW
810,2016-01-05,removed_ticker,FOSL
809,2016-01-19,removed_ticker,CB
188,2016-01-19,added_ticker,EXR
117,2016-01-29,added_ticker,CFG
591,2016-02-01,added_ticker,CFG
592,2016-02-01,added_ticker,FRT
807,2016-02-01,removed_ticker,PCP
808,2016-02-01,removed_ticker,BRCM
806,2016-02-22,removed_ticker,PCL
128,2016-02-22,added_ticker,CXO
805,2016-03-04,removed_ticker,CNX
589,2016-03-04,added_ticker,AWK
588,2016-03-07,added_ticker,UDR
804,2016-03-07,removed_ticker,GMCR
457,2016-03-25,added_ticker,UAA
802,2016-03-30,removed_ticker,POM
803,2016-03-30,removed_ticker,ESV
239,2016-03-30,added_ticker,HOLX
587,2016-03-30,added_ticker,CNC
585,2016-04-04,added_ticker,FL
801,2016-04-04,removed_ticker,CAM
455,2016-04-18,added_ticker,ULTA
800,2016-04-18,removed_ticker,THC
583,2016-04-25,added_ticker,GPN
799,2016-04-25,removed_ticker,GME
798,2016-05-03,removed_ticker,ADT
582,2016-05-03,added_ticker,AYI
581,2016-05-13,added_ticker,ALK
797,2016-05-13,removed_ticker,SNDK
580,2016-05-18,added_ticker,DLR
796,2016-05-18,removed_ticker,TWC
579,2016-05-23,added_ticker,LKQ
795,2016-05-23,removed_ticker,ARG
578,2016-05-31,added_ticker,AJG
794,2016-05-31,removed_ticker,CCE
450,2016-06-03,added_ticker,TDG
793,2016-06-03,removed_ticker,BXLT
792,2016-06-20,removed_ticker,
576,2016-06-20,added_ticker,UA-C
791,2016-06-22,removed_ticker,CVC
575,2016-06-22,added_ticker,FBHS
790,2016-07-01,removed_ticker,TE
789,2016-07-01,removed_ticker,GAS
23,2016-07-01,added_ticker,LNT
206,2016-07-01,added_ticker,FTV
16,2016-07-01,added_ticker,ALB
572,2016-07-05,added_ticker,FTV
788,2016-07-05,removed_ticker,CPGX
571,2016-09-06,added_ticker,MTD
787,2016-09-06,removed_ticker,JCI
570,2016-09-08,added_ticker,CHTR
786,2016-09-08,removed_ticker,EMC
569,2016-09-22,added_ticker,COO
785,2016-09-22,removed_ticker,HOT
132,2016-09-23,added_ticker,COO
568,2016-09-30,added_ticker,COTY
784,2016-09-30,removed_ticker,DO
137,2016-10-03,added_ticker,COTY
783,2016-12-02,removed_ticker,LM
782,2016-12-02,removed_ticker,OI
326,2016-12-02,added_ticker,MAA
567,2016-12-02,added_ticker,EVHC
249,2017-01-05,added_ticker,IDXX
781,2017-01-05,removed_ticker,STJ
257,2017-02-28,added_ticker,INCY
780,2017-02-28,removed_ticker,SE
95,2017-03-01,added_ticker,CBOE
779,2017-03-01,removed_ticker,PBI
562,2017-03-02,added_ticker,REG
778,2017-03-02,removed_ticker,ENDP
561,2017-03-13,added_ticker,DISH
777,2017-03-13,removed_ticker,LLTC
432,2017-03-16,added_ticker,SNPS
776,2017-03-16,removed_ticker,HAR
775,2017-03-20,removed_ticker,FSLR
396,2017-03-20,added_ticker,RJF
774,2017-03-20,removed_ticker,FTR
17,2017-03-20,added_ticker,ARE
557,2017-03-20,added_ticker,AMD
773,2017-03-20,removed_ticker,URBN
556,2017-04-04,added_ticker,DXC
772,2017-04-04,removed_ticker,SWN
214,2017-04-05,added_ticker,IT
771,2017-04-05,removed_ticker,DNB
770,2017-06-02,removed_ticker,TGNA
250,2017-06-02,added_ticker,INFO
19,2017-06-19,added_ticker,ALGN
184,2017-06-19,added_ticker,RE
766,2017-06-19,removed_ticker,YHOO
43,2017-06-19,added_ticker,ANSS
237,2017-06-19,added_ticker,HLT
768,2017-06-19,removed_ticker,R
